,,"RD Kafetaria"
,,"Jl. Borobudur 87 Wonosobo"
,,"Laporan Barang Terlaris"
,,"Tanggal 1-01-2023 s/d 31-01-2023"
No.,Kode,"Nama Barang","Total Qty",Satuan,"Total Penjualan"
1,G001,"GULE KAMBING",1,POR,20000.00
2,SK001,"SATE KAMBING",1,POR,88000.00
,,,,,,108000
